Player,GP,W%,SCPG,GPG,APG,SAPG,SHPG,Rating,Country
Squirrel,3,"
    0.00%
  ","
    583.00
  ","
    2.33
  ","
    0.33
  ","
    1.67
  ","
    4.67
  ",1.64,id
Ignaccio,3,"
    66.67%
  ","
    520.33
  ","
    1.67
  ","
    0.00
  ","
    2.33
  ","
    4.67
  ",1.58,int
N0ns3ns3,5,"
    60.00%
  ","
    541.00
  ","
    1.60
  ","
    0.80
  ","
    2.60
  ","
    4.60
  ",1.53,int
Junior,2,"
    50.00%
  ","
    788.00
  ","
    1.00
  ","
    0.00
  ","
    5.50
  ","
    5.00
  ",1.39,int
seikoo,4,"
    25.00%
  ","
    557.50
  ","
    0.75
  ","
    0.75
  ","
    3.50
  ","
    3.50
  ",1.33,int
classiiik,7,"
    57.14%
  ","
    442.71
  ","
    1.29
  ","
    0.29
  ","
    2.14
  ","
    2.71
  ",1.32,int
kixou,3,"
    66.67%
  ","
    351.67
  ","
    0.67
  ","
    1.67
  ","
    0.67
  ","
    2.00
  ",1.32,int
Joey,1,"
    100.00%
  ","
    328.00
  ","
    1.00
  ","
    1.00
  ","
    1.00
  ","
    2.00
  ",1.26,int
math,134,"
    60.45%
  ","
    459.42
  ","
    1.02
  ","
    0.61
  ","
    1.76
  ","
    3.76
  ",1.26,br
COKE,3,"
    33.33%
  ","
    429.67
  ","
    1.33
  ","
    0.00
  ","
    1.67
  ","
    2.00
  ",1.24,int
Data,5,"
    60.00%
  ","
    315.00
  ","
    1.20
  ","
    0.80
  ","
    1.00
  ","
    3.60
  ",1.23,se
Blur,8,"
    37.50%
  ","
    439.25
  ","
    0.63
  ","
    1.25
  ","
    2.13
  ","
    3.13
  ",1.22,int
jstn,545,"
    66.97%
  ","
    433.79
  ","
    0.88
  ","
    0.71
  ","
    1.84
  ","
    3.40
  ",1.21,us
BJayB,2,"
    0.00%
  ","
    411.50
  ","
    0.50
  ","
    0.50
  ","
    3.00
  ","
    1.00
  ",1.20,gb
Gambit,61,"
    62.30%
  ","
    275.57
  ","
    1.16
  ","
    0.72
  ","
    1.20
  ","
    3.56
  ",1.20,us
Vensi,5,"
    40.00%
  ","
    393.00
  ","
    1.00
  ","
    0.60
  ","
    1.80
  ","
    2.60
  ",1.20,int
loxesking,7,"
    42.86%
  ","
    433.29
  ","
    1.29
  ","
    0.29
  ","
    1.43
  ","
    3.29
  ",1.19,int
jauum,3,"
    66.67%
  ","
    423.33
  ","
    1.00
  ","
    0.67
  ","
    1.67
  ","
    3.67
  ",1.19,int
Oaly,93,"
    48.39%
  ","
    461.34
  ","
    0.94
  ","
    0.66
  ","
    2.12
  ","
    3.23
  ",1.19,nl
jupiter,5,"
    40.00%
  ","
    443.20
  ","
    1.00
  ","
    0.80
  ","
    1.80
  ","
    3.40
  ",1.18,int
Drippay,428,"
    64.95%
  ","
    357.69
  ","
    0.97
  ","
    0.64
  ","
    1.39
  ","
    3.26
  ",1.18,au
